nationality,arrival_airport_iata,departure_airport_iata,departure_year,departure_month,departure_day,departure_date,arrival_airport_description,departure_airport_description,arrival_city,departure_city,arrival_country_code,departure_country_code,arrival_country,departure_country,zone,entries,investigated,alarms,document_type,gender,age_group,transit_flag,airline,flight_number,control_outcome,operator_notes,risk_code,Tipo Documento,FASCIA ETA
ALB,BLQ,TIA,2024,01,24,2024-01-24 09:10:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,110,110,19,N.D.,N.D.,0-17,SINGOLA TRATTA,RYANAIR DAC,FR8399,RESPINTO,,,N.D.,0-17
ALB,BGY,BFS,2024,02,9,2024-02-09 09:15:00,ORIO AL SERIO,BELFAST INTERNATIONAL,BERGAMO,BELFAST,ITA,GBR,ITALIA,REGNO UNITO,2,4,4,0,VISTO,M,18-30,SINGOLA TRATTA,RYANAIR DAC,FR9603,RESPINTO,,,VISTO,18-30
ALB,MXP,IST,2024,01,22,2024-01-22 16:15:00,MALPENSA,HAVALIMANI,MILANO,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,2,1,1,0,VISTO,F,N.D.,SINGOLA TRATTA,,TK1875,OK,,,VISTO,N.D.
ALB,MXP,LHR,2024,02,4,2024-02-04 17:00:00,MALPENSA,LONDON HEATHROW,MILANO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,0,N.D.,N.D.,18-30,SINGOLA TRATTA,BRITISH AIRWAYS,BA0580,FERMATO,,,N.D.,18-30
ALB,BGY,TIA,2024,02,6,2024-02-06 22:05:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,51,51,10,PASSAPORTO,F,46-60,SINGOLA TRATTA,,FR8356,SEGNALATO,,,PASSAPORTO,46-60
ALB,BLQ,TIA,2024,02,26,2024-02-26 06:30:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,1,1,0,N.D.,M,18-30,SINGOLA TRATTA,AIR SERBIA,JU0550,,,,N.D.,18-30
ALB,FCO,MAN,2024,01,28,2024-01-28 14:30:00,FIUMICINO,MANCHESTER,ROMA,MANCHESTER,ITA,GBR,ITALIA,REGNO UNITO,5,1,0,0,N.D.,N.D.,46-60,SINGOLA TRATTA,JET2.COM,LS0791,IN ATTESA,,,N.D.,46-60
ALB,FCO,IAD,2024,01,8,,FIUMICINO,WASHINGTON DULLES INTERNATIONAL,ROMA,WASHINGTON,ITA,USA,ITALIA,STATI UNITI,5,1,0,0,VISTO,M,61+,SINGOLA TRATTA,ITA AIRWAYS,AZ0619,,,,VISTO,61+
ALB,FCO,ZNZ,2024,01,17,2024-01-17 08:30:00,FIUMICINO,KISAUNI,ROMA,ZANZIBAR,ITA,TZA,ITALIA,TANZANIA,5,1,3,1,VISTO,M,N.D.,SINGOLA TRATTA,NEOS S.P.A.,NO0263,OK,,,VISTO,N.D.
AFG,FCO,SAW,2024,02,8,2024-02-08 15:35:00,FIUMICINO,SABIHA GOKCEN,ROMA,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,5,1,4,0,N.D.,M,0-17,SINGOLA TRATTA,PEGASUS AIRLINES,PC1225,,,,N.D.,0-17
ALB,BRI,TIA,2024,02,28,2024-02-28 11:35:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,59,59,3,N.D.,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W46601,SEGNALATO,,,N.D.,18-30
ALB,MXP,STN,2024,01,20,2024-01-20 17:05:00,MALPENSA,STANSTED,MILANO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,2,2,0,N.D.,M,18-30,SINGOLA TRATTA,RYANAIR DAC,FR2759,FERMATO,,,N.D.,18-30
ALB,BGY,TIA,2024,02,16,2024-02-16 06:10:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,107,107,12,CARTA D'IDENTITÀ,N.D.,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W43845,RESPINTO,,R3,CARTA D'IDENTITÀ,31-45
ALB,FCO,JED,2024,01,4,2024-01-04 10:20:00,FIUMICINO,KING ABDULAZIZ INTERNATIONAL,ROMA,JEDDAH,ITA,SAU,ITALIA,ARABIA SAUDITA,5,2,2,0,VISTO,F,N.D.,SINGOLA TRATTA,SAUDI ARABIAN AIRLINES,SV0201,FERMATO,,,VISTO,N.D.
ALB,MXP,PRN,2024,01,27,2024-01-27 21:40:00,MALPENSA,PRISHTINA INTERNATIONAL,MILANO,PRISTINA,ITA,RKS,ITALIA,COSSOVO,2,5,5,1,CARTA D'IDENTITÀ,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W45554,FERMATO,,,CARTA D'IDENTITÀ,0-17
N.D.,PSA,TIA,2024,01,20,2024-01-20 06:50:00,GALILEO GALILEI,RINAS MOTHER TERESA,PISA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,186,186,17,PERMESSO DI SOGGIORNO,F,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W43853,RESPINTO,,,PERMESSO DI SOGGIORNO,61+
ALB,BRI,STN,2024,01,31,2024-01-31 09:50:00,PALESE,STANSTED,BARI,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,9,2,2,0,PASSAPORTO,M,31-45,SINGOLA TRATTA,RYANAIR DAC,FR1905,SEGNALATO,,,PASSAPORTO,31-45
ALB,MXP,TIA,2024,02,10,2024-02-10 06:20:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,149,149,5,N.D.,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46607,,,,N.D.,0-17
ALB,TSF,TIA,2024,01,12,2024-01-12 06:50:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,99,99,13,N.D.,F,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W43851,,,,N.D.,31-45
AFG,BGY,KBL,2024,02,14,2024-02-14 18:00:00,ORIO AL SERIO,KHWAJA RAWASH,BERGAMO,KABUL,ITA,AFG,ITALIA,AFGHANISTAN,2,2,2,2,VISTO,N.D.,N.D.,SINGOLA TRATTA,FLY DUBAI,FZ1571,RESPINTO,,,VISTO,N.D.
ALB,FCO,LGW,2023,01,23,2024-01-23 09:40:00,FIUMICINO,LONDON GATWICK,ROMA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,5,1,1,0,PERMESSO DI SOGGIORNO,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W45781,IN ATTESA,,,PERMESSO DI SOGGIORNO,31-45
ALB,MXP,ORD,2024,01,13,2024-01-13 18:15:00,MALPENSA,CHICAGO O'HARE INTERNATIONAL,MILANO,CHICAGO,ITA,USA,ITALIA,STATI UNITI,2,2,2,0,PASSAPORTO,F,0-17,SINGOLA TRATTA,AMERICAN AIRLINES,,FERMATO,,,PASSAPORTO,0-17
ALB,BRI,TIA,2024,01,17,2024-01-17 11:35:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,ALB,ITALIA,ALBANIA,9,38,38,40,CARTA D'IDENTITÀ,M,N.D.,SINGOLA TRATTA,WIZZ AIR MALTA,W46601,FERMATO,,,CARTA D'IDENTITÀ,N.D.
ALB,TSF,TIA,2024,01,16,2024-01-16 06:50:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,29,29,3,PERMESSO DI SOGGIORNO,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W43851,,,,PERMESSO DI SOGGIORNO,46-60
ALB,MXP,SSH,2024,01,14,2024-01-14 13:10:00,MALPENSA,SHARM EL-SHEIKH INTERNATIONAL,MILANO,SHARM EL SHEIKH,ITA,EGY,ITALIA,EGITTO,2,1,1,0,PASSAPORTO,F,N.D.,SINGOLA TRATTA,EASYJET EUROPE,EC3892,IN ATTESA,,,PASSAPORTO,N.D.
ALB,FCO,TIA,2024,01,8,2024-01-08 19:55:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,67,0,0,N.D.,M,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W46691,OK,,,N.D.,18-30
ALB,BRI,STN,2024,01,5,,PALESE,STANSTED,BARI,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,9,1,1,1,PERMESSO DI SOGGIORNO,F,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR1905,SEGNALATO,,,PERMESSO DI SOGGIORNO,N.D.
ALB,MXP,LGW,2024,02,9,2024-02-09 07:00:00,MALPENSA,LONDON GATWICK,MILANO,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,2,1,1,0,VISTO,M,18-30,SINGOLA TRATTA,,U2 8303,OK,,,VISTO,18-30
ALB,PSA,TIA,2024,02,21,,GALILEO GALILEI,RINAS MOTHER TERESA,PISA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,93,93,15,CARTA D'IDENTITÀ,F,0-17,SINGOLA TRATTA,RYANAIR DAC,FR8391,,,,CARTA D'IDENTITÀ,0-17
AFG,MXP,IKA,2024,01,17,2024-01-17 08:40:00,MALPENSA,IMAM KHOMEINI INTERNATIONAL,MILANO,TEHRAN,ITA,IRN,ITALIA,IRAN,2,1,1,0,CARTA D'IDENTITÀ,F,0-17,SINGOLA TRATTA,TURKISH AIRLINES,TK1873,IN ATTESA,,R2,CARTA D'IDENTITÀ,0-17
ALB,FCO,SAW,2024,02,18,2024-02-18 12:30:00,FIUMICINO,SABIHA GOKCEN,ROMA,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,5,1,1,0,CARTA D'IDENTITÀ,M,61+,SINGOLA TRATTA,TURKISH AIRLINES,TK7660,SEGNALATO,,,CARTA D'IDENTITÀ,61+
ALB,PSA,IAD,2024,02,17,2024-02-17 08:00:00,GALILEO GALILEI,WASHINGTON DULLES INTERNATIONAL,PISA,WASHINGTON,ITA,USA,ITALIA,STATI UNITI,8,2,2,0,N.D.,F,61+,SINGOLA TRATTA,BRITISH AIRWAYS,,IN ATTESA,,,N.D.,61+
ALB,BGY,SAW,2024,02,11,2024-02-11 11:50:00,ORIO AL SERIO,SABIHA GOKCEN,BERGAMO,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,2,5,5,1,PERMESSO DI SOGGIORNO,F,18-30,SINGOLA TRATTA,TURKISH AIRLINES,TK7794,RESPINTO,,,PERMESSO DI SOGGIORNO,18-30
ALB,MXP,DXB,2023,02,12,2024-02-12 15:55:00,MALPENSA,DUBAI INTERNATIONAL,MILANO,DUBAI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,2,1,4,1,N.D.,N.D.,61+,SINGOLA TRATTA,EMIRATES,EK0091,,,,N.D.,61+
ALB,BGY,TIA,2024,02,11,2024-02-11 12:10:00,ORIO AL SERIO,RINAS MOTHER TERESA,BERGAMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,64,64,9,VISTO,M,61+,SINGOLA TRATTA,RYANAIR DAC,FR8350,RESPINTO,,,VISTO,61+
AFG,MXP,KBL,2024,02,26,2024-02-26 15:55:00,MALPENSA,KHWAJA RAWASH,MILANO,KABUL,ITA,AFG,ITALIA,AFGHANISTAN,2,1,1,1,N.D.,M,0-17,SINGOLA TRATTA,EMIRATES,EK0091,,,,N.D.,0-17
ALB,FCO,TUN,2024,02,18,2024-02-18 19:05:00,FIUMICINO,CARTHAGE,ROMA,TUNIS,ITA,TUN,ITALIA,TUNISIA,5,1,1,0,N.D.,M,46-60,SINGOLA TRATTA,ITA AIRWAYS,AZ0867,,,,N.D.,46-60
,FCO,IKA,2024,01,26,2024-01-26 12:15:00,FIUMICINO,IMAM KHOMEINI INTERNATIONAL,ROMA,TEHRAN,ITA,IRN,ITALIA,IRAN,5,1,1,1,,F,46-60,SINGOLA TRATTA,TURKISH AIRLINES,TK7660,SEGNALATO,,,PERMESSO DI SOGGIORNO,46-60
ALB,MXP,TIA,2024,01,9,2024-01-09 06:20:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,112,112,12,N.D.,F,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W46607,SEGNALATO,,,N.D.,18-30
ALB,MXP,HAN,2024,01,8,2024-01-08 15:30:00,MALPENSA,NOIBAI INTERNATIONAL,MILANO,HANOI,ITA,VNM,ITALIA,VIETNAM,2,1,1,0,VISTO,F,18-30,SINGOLA TRATTA,QATAR AIRWAYS,QR0117,,,,VISTO,18-30
ALB,MXP,CLE,2024,02,19,2024-02-19 18:25:00,MALPENSA,HOPKINS INTERNATIONAL,MILANO,CLEVELAND,ITA,USA,ITALIA,STATI UNITI,2,1,1,0,VISTO,F,18-30,SINGOLA TRATTA,UNITED AIRLINES,UA0019,OK,,,VISTO,18-30
ALB,CTA,TIA,2024,02,5,2024-02-05 16:50:00,FONTANAROSSA,RINAS MOTHER TERESA,CATANIA,TIRANA,ITA,ALB,ITALIA,ALBANIA,7,23,23,4,PERMESSO DI SOGGIORNO,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46688,,,,PERMESSO DI SOGGIORNO,0-17
,BLQ,STN,2024,01,5,,GUGLIELMO MARCONI,STANSTED,BOLOGNA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,8,5,5,0,VISTO,M,18-30,SINGOLA TRATTA,RYANAIR DAC,FR1194,RESPINTO,,,VISTO,18-30
,BGY,BHX,2024,01,28,2024-01-28 18:30:00,ORIO AL SERIO,BIRMINGHAM INTERNATIONAL,BERGAMO,BIRMINGHAM,ITA,GBR,ITALIA,REGNO UNITO,2,2,2,0,CARTA D'IDENTITÀ,M,61+,SINGOLA TRATTA,RYANAIR DAC,FR5103,OK,,,CARTA D'IDENTITÀ,61+
ALB,BLQ,TIA,2024,02,10,2024-02-10 18:10:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,104,104,15,N.D.,M,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR8399,,,,N.D.,N.D.
ALB,PMO,TIA,2024,02,11,2024-02-11 16:55:00,PUNTA RAISI,RINAS MOTHER TERESA,PALERMO,TIRANA,ITA,ALB,ITALIA,ALBANIA,7,1,0,0,N.D.,M,46-60,SINGOLA TRATTA,ITA AIRWAYS,AZ0585,,,,N.D.,46-60
ALB,VRN,STN,2024,02,17,2024-02-17 17:40:00,VERONA VILLAFRANCA,STANSTED,VERONA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,4,1,1,0,VISTO,M,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR2338,OK,,,VISTO,N.D.
ALB,CIA,TIA,2024,01,27,,CIAMPINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,77,77,16,N.D.,F,0-17,SINGOLA TRATTA,RYANAIR DAC,FR8360,,,,N.D.,0-17
AFG,NAP,KBL,2024,02,29,2024-02-29 07:30:00,NAPOLI CAPODICHINO,KHWAJA RAWASH,NAPOLI,KABUL,ITA,AFG,ITALIA,AFGHANISTAN,6,2,2,2,PERMESSO DI SOGGIORNO,F,N.D.,SINGOLA TRATTA,FLY DUBAI,FZ1681,RESPINTO,,,PERMESSO DI SOGGIORNO,N.D.
ALB,VCE,SKP,2024,01,27,,VENEZIA MARCO POLO,PETROVEC,VENEZIA,SKOPIE,ITA,MKD,ITALIA,MACEDONIA,4,1,1,1,PASSAPORTO,M,31-45,SINGOLA TRATTA,WIZZ AIR HUNGARY,W67751,RESPINTO,,,PASSAPORTO,31-45
ALB,BLQ,TIA,2024,01,10,2024-01-10 09:10:00,GUGLIELMO MARCONI,RINAS MOTHER TERESA,BOLOGNA,TIRANA,ITA,ALB,ITALIA,ALBANIA,8,138,141,20,N.D.,N.D.,31-45,SINGOLA TRATTA,RYANAIR DAC,FR8399,FERMATO,,,N.D.,31-45
ALB,TSF,TIA,2024,01,21,2024-01-21 20:10:00,TREVISO-SANT'ANGELO,RINAS MOTHER TERESA,TREVISO,TIRANA,ITA,ALB,ITALIA,ALBANIA,4,72,72,13,VISTO,M,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR8400,OK,,,VISTO,N.D.
ALB,FCO,TIA,2024,01,11,2024-01-11 05:35:00,FIUMICINO,RINAS MOTHER TERESA,ROMA,TIRANA,ITA,ALB,ITALIA,ALBANIA,5,9,0,0,VISTO,F,31-45,SINGOLA TRATTA,ITA AIRWAYS,AZ0507,SEGNALATO,,,VISTO,31-45
ALB,MXP,TIA,2024,02,4,2024-02-04 20:10:00,MALPENSA,RINAS MOTHER TERESA,MILANO,TIRANA,ITA,ALB,ITALIA,ALBANIA,2,53,53,17,CARTA D'IDENTITÀ,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46609,FERMATO,,,CARTA D'IDENTITÀ,0-17
AFG,FCO,IKA,2024,01,4,2024-01-04 06:00:00,FIUMICINO,IMAM KHOMEINI INTERNATIONAL,ROMA,TEHRAN,ITA,IRN,ITALIA,IRAN,5,11,11,1,PERMESSO DI SOGGIORNO,F,0-17,SINGOLA TRATTA,IRAN AIR,IR0739,SEGNALATO,,,PERMESSO DI SOGGIORNO,0-17
ALB,PEG,STN,2024,02,4,2024-02-18 11:45:00,SANT EGIDIO,STANSTED,PERUGIA,LONDRA,ITA,GBR,ITALIA,REGNO UNITO,5,2,2,1,VISTO,M,18-30,SINGOLA TRATTA,RYANAIR DAC,FR2497,IN ATTESA,,,VISTO,18-30
ALB,BRI,TIA,2024,02,27,2024-02-27 16:40:00,PALESE,RINAS MOTHER TERESA,BARI,TIRANA,ITA,AL,ITALIA,ALBANIA,9,33,33,1,PERMESSO DI SOGGIORNO,M,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W46647,,,,PERMESSO DI SOGGIORNO,0-17
ALB,MXP,MAN,2024,02,10,2024-02-10 06:30:00,MALPENSA,MANCHESTER,MILANO,MANCHESTER,ITA,GBR,ITALIA,REGNO UNITO,2,2,2,0,VISTO,F,18-30,SINGOLA TRATTA,RYANAIR DAC,FR6818,,,,VISTO,18-30
AGO,FCO,LAD,2023,01,6,2024-01-06 09:15:00,FIUMICINO,4 DE FEVEREIRO,ROMA,LUANDA,ITA,AGO,ITALIA,ANGOLA,5,2,2,0,CARTA D'IDENTITÀ,F,61+,SINGOLA TRATTA,TURKISH AIRLINES,TK1861,RESPINTO,,R3,CARTA D'IDENTITÀ,61+
ARE,BGY,SHJ,2024,01,31,2024-01-31 07:15:00,ORIO AL SERIO,SHARJAH,BERGAMO,SHARJAH,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,2,6,6,0,PASSAPORTO,M,31-45,SINGOLA TRATTA,AIR ARABIA,G90710,RESPINTO,,,PASSAPORTO,31-45
ALB,BGY,IST,2024,01,3,2024-01-02 15:05:00,ORIO AL SERIO,HAVALIMANI,BERGAMO,ISTANBUL,ITA,TUR,ITALIA,TURCHIA,2,3,3,2,VISTO,F,61+,SINGOLA TRATTA,FREEBIRD AIRLINES,FH0805,,,,VISTO,61+
