nationality,arrival_airport_iata,departure_airport_iata,departure_year,departure_month,departure_day,departure_date,arrival_airport_description,departure_airport_description,arrival_city,departure_city,arrival_country_code,departure_country_code,arrival_country,departure_country,zone,entries,investigated,alarms,document_type,gender,age_group,transit_flag,airline,flight_number,control_outcome,operator_notes,risk_code,Tipo Documento,FASCIA ETA,ALARM_REASON_INTERPOL,ALARM_REASON_Manuale,ALARM_REASON_NSIS,ALARM_REASON_No information provided,ALARM_REASON_SDI,ALARM_REASON_TSC,RISK_FLAG_HIGH,RISK_FLAG_LOW,RISK_FLAG_MEDIUM,total_alarms_day,day_of_week,is_weekend,month,alarm_rate,investigation_rate,airport_historical_avg_rate,rate_deviation,alarm_rate_yesterday,rolling_7d_avg_rate,airport_historical_avg_entries,traffic_multiplier,zone_risk_weight
,FCO,AKL,2024,2,26,2024-02-26 12:35:00,FIUMICINO,AUCKLAND INTERNATIONAL,ROMA,AUCKLAND,ITA,NZL,ITALIA,NUOVA ZELANDA,5.0,1.0,1.0,0.0,N.D.,N.D.,31-45,SINGOLA TRATTA,CHINA EASTERN AIRLINES,MU0787,IN ATTESA,,,N.D.,31-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
AFG,MXP,ALA,2024,1,26,2024-01-26 05:45:00,MALPENSA,ALMATY,MILANO,ALMATY,ITA,KAZ,ITALIA,KAZAKISTAN,2.0,1.0,1.0,0.0,PASSAPORTO,F,0-17,SINGOLA TRATTA,NEOS S.P.A.,NO0764,IN ATTESA,,,PASSAPORTO,0-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ALB,MXP,ALG,2024,2,18,2024-02-18 10:15:00,MALPENSA,HOUARI BOUMEDIENE,MILANO,ALGERI,ITA,DZA,ITALIA,ALGERIA,2.0,1.0,1.0,6.0,PERMESSO DI SOGGIORNO,F,31-45,SINGOLA TRATTA,AIR ALGERIE,AH2026,FERMATO,,,PERMESSO DI SOGGIORNO,31-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
,MXP,AMD,2024,2,23,2024-02-23 14:45:00,MALPENSA,AHMEDABAD,MILANO,AHMEDABAD,ITA,IND,ITALIA,INDIA,2.0,1.0,4.0,0.0,N.D.,M,18-30,SINGOLA TRATTA,ETIHAD AIRWAYS,EY0079,FERMATO,,,N.D.,18-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,2,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
ALB,CIA,AMM,2024,1,5,2024-01-02 12:00:00,CIAMPINO,QUEEN ALIA INTERNATIONAL,ROMA,AMMAN,ITA,JOR,ITALIA,GIORDANIA,5.0,1.0,1.0,0.0,PASSAPORTO,M,31-45,SINGOLA TRATTA,RYANAIR DAC,FR4576,SEGNALATO,,,PASSAPORTO,31-45,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,1,0,1,3.0,1.0,0.6859649122807018,2.314035087719298,0.6859649122807018,0.6859649122807018,1.5263157894736843,0.6551724137931034,5.0
AFG,FCO,AMM,2024,1,5,2024-01-05 23:00:00,FIUMICINO,QUEEN ALIA INTERNATIONAL,ROMA,AMMAN,ITA,JOR,ITALIA,GIORDANIA,5.0,1.0,0.0,0.0,PASSAPORTO,F,61+,SINGOLA TRATTA,WIZZ AIR MALTA,W48310,SEGNALATO,,,PASSAPORTO,61+,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,4,0,1,3.0,0.0,0.6859649122807018,2.314035087719298,3.0,3.0,1.5263157894736843,0.6551724137931034,5.0
ALB,BLQ,AMM,2024,1,8,2024-01-08 22:40:00,GUGLIELMO MARCONI,QUEEN ALIA INTERNATIONAL,BOLOGNA,AMMAN,ITA,JOR,ITALIA,GIORDANIA,8.0,1.0,1.0,0.0,VISTO,M,18-30,SINGOLA TRATTA,RYANAIR DAC,FR5080,,,,VISTO,18-30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,1.0,1.0,0.6859649122807018,0.3140350877192982,3.0,3.0,1.5263157894736843,0.6551724137931034,8.0
N.D.,FCO,AMM,2024,1,8,2024-01-08 23:00:00,FIUMICINO,QUEEN ALIA INTERNATIONAL,ROMA,AMMAN,ITA,JOR,ITALIA,GIORDANIA,5.0,5.0,0.0,0.0,VISTO,F,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W48310,IN ATTESA,,,VISTO,18-30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.2,0.0,0.6859649122807018,-0.48596491228070177,1.0,2.3333333333333335,1.5263157894736843,3.275862068965517,5.0
ALB,FCO,AMM,2024,1,12,2024-01-12 23:00:00,FIUMICINO,QUEEN ALIA INTERNATIONAL,ROMA,AMMAN,ITA,JOR,ITALIA,GIORDANIA,5.0,2.0,0.0,0.0,N.D.,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W48310,OK,,,N.D.,46-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.0,0.0,0.6859649122807018,-0.6859649122807018,0.2,1.8,1.5263157894736843,1.3103448275862069,5.0
ALB,BLQ,AMM,2024,1,12,2024-01-12 23:05:00,GUGLIELMO MARCONI,QUEEN ALIA INTERNATIONAL,BOLOGNA,AMMAN,ITA,JOR,ITALIA,GIORDANIA,8.0,1.0,1.0,0.0,N.D.,N.D.,0-17,SINGOLA TRATTA,RYANAIR DAC,FR5080,FERMATO,,,N.D.,0-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.0,1.0,0.6859649122807018,-0.6859649122807018,0.0,1.44,1.5263157894736843,0.6551724137931034,8.0
ALB,BGY,AMM,2024,1,23,2024-01-23 21:00:00,ORIO AL SERIO,QUEEN ALIA INTERNATIONAL,BERGAMO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,2.0,3.0,3.0,0.0,N.D.,F,18-30,SINGOLA TRATTA,RYANAIR DAC,FR3155,SEGNALATO,,,N.D.,18-30,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,1,0.3333333333333333,1.0,0.6859649122807018,-0.35263157894736846,0.0,1.2,1.5263157894736843,1.9655172413793103,2.0
AFG,MXP,AMM,2024,1,28,2024-01-28 23:00:00,MALPENSA,QUEEN ALIA INTERNATIONAL,MILANO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,2.0,1.0,1.0,0.0,PASSAPORTO,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W45616,IN ATTESA,,,PASSAPORTO,46-60,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6,1,1,1.0,1.0,0.6859649122807018,0.3140350877192982,0.3333333333333333,1.0761904761904761,1.5263157894736843,0.6551724137931034,2.0
ALB,BLQ,AMM,2024,1,29,2024-01-29 22:40:00,GUGLIELMO MARCONI,QUEEN ALIA INTERNATIONAL,BOLOGNA,AMMAN,ITA,JOR,ITALIA,GIORDANIA,8.0,2.0,2.0,0.0,CARTA D'IDENTITÀ,M,31-45,SINGOLA TRATTA,N.D.,FR5080,OK,,,CARTA D'IDENTITÀ,31-45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0.5,1.0,0.6859649122807018,-0.18596491228070178,1.0,0.7904761904761904,1.5263157894736843,1.3103448275862069,8.0
ALB,CIA,AMM,2024,1,16,2024-01-30 12:00:00,CIAMPINO,QUEEN ALIA INTERNATIONAL,ROMA,AMMAN,ITA,JOR,ITALIA,GIORDANIA,5.0,1.0,1.0,0.0,N.D.,M,0-17,SINGOLA TRATTA,RYANAIR DAC,FR4576,,,R2,N.D.,0-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.6859649122807018,-0.6859649122807018,0.5,0.4333333333333333,1.5263157894736843,0.6551724137931034,5.0
ALB,BGY,AMM,2024,1,30,2024-01-30 21:00:00,ORIO AL SERIO,QUEEN ALIA INTERNATIONAL,BERGAMO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,2.0,1.0,1.0,0.0,PERMESSO DI SOGGIORNO,M,31-45,SINGOLA TRATTA,RYANAIR DAC,FR3155,OK,,,PERMESSO DI SOGGIORNO,31-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.6859649122807018,-0.6859649122807018,0.0,0.29047619047619044,1.5263157894736843,0.6551724137931034,2.0
AFG,MXP,AMM,2024,2,11,2024-02-11 23:00:00,MALPENSA,QUEEN ALIA INTERNATIONAL,MILANO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,2.0,1.0,1.0,0.0,N.D.,M,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W45616,,,,N.D.,31-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,2,0.0,1.0,0.6859649122807018,-0.6859649122807018,0.0,0.2619047619047619,1.5263157894736843,0.6551724137931034,2.0
N.D.,BGY,AMM,2024,2,13,2024-02-13 21:00:00,ORIO AL SERIO,QUEEN ALIA INTERNATIONAL,BERGAMO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,2.0,1.0,1.0,0.0,VISTO,F,46-60,SINGOLA TRATTA,RYANAIR DAC,FR3155,,,,VISTO,46-60,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1,0,2,2.0,1.0,0.6859649122807018,1.3140350877192981,0.0,0.2619047619047619,1.5263157894736843,0.6551724137931034,2.0
AND,TSF,AMM,2024,2,19,2024-02-19 14:10:00,TREVISO-SANT'ANGELO,QUEEN ALIA INTERNATIONAL,TREVISO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,4.0,1.0,1.0,0.0,N.D.,F,31-45,SINGOLA TRATTA,RYANAIR DAC,FR9333,,,,N.D.,31-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,1.0,0.6859649122807018,-0.6859649122807018,2.0,0.5476190476190476,1.5263157894736843,0.6551724137931034,4.0
ALB,BGY,AMM,2024,2,21,2024-02-21 21:35:00,ORIO AL SERIO,QUEEN ALIA INTERNATIONAL,BERGAMO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,2.0,1.0,1.0,0.0,N.D.,F,0-17,SINGOLA TRATTA,RYANAIR DAC,FR3155,FERMATO,,,N.D.,0-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,0,2,1.0,1.0,0.6859649122807018,0.3140350877192982,0.0,0.5,1.5263157894736843,0.6551724137931034,2.0
ALB,TSF,AMM,2024,2,22,2024-02-22 14:50:00,TREVISO-SANT'ANGELO,QUEEN ALIA INTERNATIONAL,TREVISO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,4.0,1.0,1.0,0.0,VISTO,N.D.,0-17,SINGOLA TRATTA,RYANAIR DAC,FR9333,,,,VISTO,0-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2,0.0,1.0,0.6859649122807018,-0.6859649122807018,1.0,0.5,1.5263157894736843,0.6551724137931034,4.0
ALB,BGY,AMM,2024,2,24,2024-02-24 12:45:00,ORIO AL SERIO,QUEEN ALIA INTERNATIONAL,BERGAMO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,2.0,2.0,2.0,1.0,N.D.,F,N.D.,SINGOLA TRATTA,RYANAIR DAC,FR3155,,,,N.D.,N.D.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5,1,2,0.5,1.0,0.6859649122807018,-0.18596491228070178,0.0,0.42857142857142855,1.5263157894736843,1.3103448275862069,2.0
ALB,MXP,AMM,2024,2,25,2024-02-25 23:00:00,MALPENSA,QUEEN ALIA INTERNATIONAL,MILANO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,2.0,1.0,1.0,,CARTA D'IDENTITÀ,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W45616,OK,,,CARTA D'IDENTITÀ,46-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,2,0.0,1.0,0.6859649122807018,-0.6859649122807018,0.5,0.5,1.5263157894736843,0.6551724137931034,2.0
ALB,MXP,AMM,2024,2,28,2024-02-28 23:00:00,MALPENSA,QUEEN ALIA INTERNATIONAL,MILANO,AMMAN,ITA,JOR,ITALIA,GIORDANIA,2.0,2.0,2.0,0.0,PERMESSO DI SOGGIORNO,N.D.,18-30,SINGOLA TRATTA,WIZZ AIR MALTA,W45616,SEGNALATO,,,PERMESSO DI SOGGIORNO,18-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,0,2,0.5,1.0,0.6859649122807018,-0.18596491228070178,0.0,0.5,1.5263157894736843,1.3103448275862069,2.0
AFG,FCO,ARN,2024,1,11,2024-01-11 06:45:00,FIUMICINO,ARLANDA,ROMA,STOCCOLMA,ITA,SWE,ITALIA,SVEZIA,5.0,1.0,1.0,0.0,PASSAPORTO,F,46-60,SINGOLA TRATTA,AIR SERBIA,JU0530,IN ATTESA,,,PASSAPORTO,46-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
ALB,VCE,ASB,2024,1,24,2024-01-24 08:10:00,VENEZIA MARCO POLO,ASHGABAT,VENEZIA,ASHGABAT,ITA,TKM,ITALIA,TURKMENISTAN,4.0,1.0,1.0,1.0,PERMESSO DI SOGGIORNO,M,31-45,SINGOLA TRATTA,TURKISH AIRLINES,TK1867,RESPINTO,,,PERMESSO DI SOGGIORNO,31-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
ALB,FCO,ASM,2024,2,19,2024-02-19 00:05:00,FIUMICINO,ASMARA INTERNATIONAL,ROMA,ASMARA,ITA,ERI,ITALIA,ERITREA,5.0,1.0,1.0,1.0,N.D.,M,31-45,SINGOLA TRATTA,ETHIOPIAN AIRLINES,ET0726,,,,N.D.,31-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
ALB,FCO,ATL,2024,1,27,2024-01-27 20:10:00,FIUMICINO,HARTSFIELD-JACKSON ATLANTA INTERNATIONAL,ROMA,ATLANTA,ITA,USA,ITALIA,STATI UNITI,5.0,1.0,1.0,0.0,VISTO,M,31-45,SINGOLA TRATTA,DELTA AIR LINES,DL0066,OK,,,VISTO,31-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
ALB,MXP,AUH,2024,1,4,2024-01-04 03:10:00,MALPENSA,ABU DHABI INTERNATIONAL,MILANO,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,2.0,1.0,1.0,0.0,N.D.,M,18-30,SINGOLA TRATTA,ETIHAD AIRWAYS,EY0081,SEGNALATO,,,N.D.,18-30,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3,0,1,3.0,1.0,1.0726430976430976,1.9273569023569024,1.0726430976430976,1.0726430976430976,2.0555555555555554,0.4864864864864865,2.0
ALB,FCO,AUH,2024,1,4,2024-01-04 21:05:00,FIUMICINO,ABU DHABI INTERNATIONAL,ROMA,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,5.0,1.0,1.0,0.0,N.D.,F,31-45,SINGOLA TRATTA,WIZZ AIR MALTA,W47049,FERMATO,,,N.D.,31-45,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,3,0,1,3.0,1.0,1.0726430976430976,1.9273569023569024,3.0,3.0,2.0555555555555554,0.4864864864864865,5.0
ALB,MXP,AUH,2024,1,5,2024-01-05 03:10:00,MALPENSA,ABU DHABI INTERNATIONAL,MILANO,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,2.0,2.0,2.0,0.0,N.D.,N.D.,31-45,SINGOLA TRATTA,ETIHAD AIRWAYS,EY0081,IN ATTESA,,,N.D.,31-45,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,4,0,1,1.0,1.0,1.0726430976430976,-0.07264309764309762,3.0,3.0,2.0555555555555554,0.972972972972973,2.0
ALB,MXP,AUH,2024,1,6,2024-01-06 03:10:00,MALPENSA,ABU DHABI INTERNATIONAL,MILANO,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,2.0,1.0,1.0,0.0,PERMESSO DI SOGGIORNO,F,0-17,SINGOLA TRATTA,ETIHAD AIRWAYS,EY0081,SEGNALATO,,,PERMESSO DI SOGGIORNO,0-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5,1,1,1.0,1.0,1.0726430976430976,-0.07264309764309762,1.0,2.3333333333333335,2.0555555555555554,0.4864864864864865,2.0
ALB,FCO,AUH,2024,1,9,2024-01-09 00:05:00,FIUMICINO,ABU DHABI INTERNATIONAL,ROMA,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,5.0,11.0,0.0,0.0,PERMESSO DI SOGGIORNO,M,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W47059,SEGNALATO,,,PERMESSO DI SOGGIORNO,46-60,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1,0,1,0.18181818181818182,0.0,1.0726430976430976,-0.8908249158249157,1.0,2.0,2.0555555555555554,5.351351351351352,5.0
ALB,CTA,AUH,2024,1,11,2024-01-11 20:35:00,FONTANAROSSA,ABU DHABI INTERNATIONAL,CATANIA,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,7.0,2.0,2.0,0.0,CARTA D'IDENTITÀ,F,0-17,SINGOLA TRATTA,WIZZ AIR MALTA,W48198,IN ATTESA,,,CARTA D'IDENTITÀ,0-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3,0,1,0.5,1.0,1.0726430976430976,-0.5726430976430976,0.18181818181818182,1.6363636363636362,2.0555555555555554,0.972972972972973,7.0
ALB,MXP,AUH,2024,1,12,2024-01-12 14:45:00,MALPENSA,ABU DHABI INTERNATIONAL,MILANO,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,2.0,1.0,1.0,1.0,N.D.,,0-17,SINGOLA TRATTA,ETIHAD AIRWAYS,EY0079,OK,,,N.D.,0-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.0,1.0,1.0726430976430976,-1.0726430976430976,0.5,1.446969696969697,2.0555555555555554,0.4864864864864865,2.0
N.D.,FCO,AUH,2024,1,12,2024-01-12 21:05:00,FIUMICINO,ABU DHABI INTERNATIONAL,ROMA,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,5.0,4.0,4.0,0.0,N.D.,F,46-60,SINGOLA TRATTA,WIZZ AIR MALTA,W47049,,,,N.D.,46-60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0.0,1.0,1.0726430976430976,-1.0726430976430976,0.0,1.2402597402597402,2.0555555555555554,1.945945945945946,5.0
ALB,FCO,AUH,2024,1,13,2024-01-13 02:25:00,FIUMICINO,ABU DHABI INTERNATIONAL,ROMA,ABU DHABI,ITA,ARE,ITALIA,EMIRATI ARABI UNITI,5.0,1.0,0.0,0.0,N.D.,M,31-45,SINGOLA TRATTA,ETIHAD AIRWAYS,EY0085,IN ATTESA,,,N.D.,31-45,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,5,1,1,3.0,0.0,1.0726430976430976,1.9273569023569024,0.0,0.8116883116883117,2.0555555555555554,0.4864864864864865,5.0
